Taxon,Genus,Tribe,Subfamily,Family,NCBITaxon,Order,Diet,Nesting,Foraging,DietMod,NestingMod,ForagingMod,DietModslashboth,DietModslashlower,DietModslashupper,DietModalllower,DietModallupper,DietModanyplant,DietModonlyplant,ForagingModalllower,ForagingModallupper,ForagingModanycanopy,NestingModalllower,NestingModallupper,NestingModanycanopy,DietModonlypred,DietModanypred,DietModonlyomni,DietModanyomni,ForagingModanyground,NestingModanyground
Dolichoderus_decollatus,Dolichoderus,Dolichoderus,Dolichoderinae,Formicidae,Dolichoderus_decollatus,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Dolichoderus_erectilobus,Dolichoderus,Dolichoderus,Dolichoderinae,Formicidae,Dolichoderus_erectilobus,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Dolichoderus_imitator,Dolichoderus,Dolichoderus,Dolichoderinae,Formicidae,Dolichoderus_imitator,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Dolichoderus_lamellosus,Dolichoderus,Dolichoderus,Dolichoderinae,Formicidae,Dolichoderus_lamellosus,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Dolichoderus_pustulatus,Dolichoderus,Dolichoderus,Dolichoderinae,Formicidae,Dolichoderus_pustulatus,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Dolichoderus_scabridus,Dolichoderus,Dolichoderus,Dolichoderinae,Formicidae,Dolichoderus_scabridus,Hymenoptera,1,0&1,0&1,1,0&1,0&1,1,1,1,1,1,1,0,0,1,1,0,1,1,0,1,1,1,1,1
Dorymyrmex_bicolor,Dorymyrmex,Dorymyrmex,Dolichoderinae,Formicidae,Dorymyrmex_bicolor,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Dorymyrmex_elegans,Dorymyrmex,Dorymyrmex,Dolichoderinae,Formicidae,Dorymyrmex_elegans,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Dorymyrmex_grandulus,Dorymyrmex,Dorymyrmex,Dolichoderinae,Formicidae,Dorymyrmex_grandulus,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Dorymyrmex_planidens,Dorymyrmex,Dorymyrmex,Dolichoderinae,Formicidae,Dorymyrmex_planidens,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Forelius_chalybaeus,Forelius,Forelius,Dolichoderinae,Formicidae,Forelius_chalybaeus,Hymenoptera,1,0,0&1,1,0,0&1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1
Forelius_pruinosus,Forelius,Forelius,Dolichoderinae,Formicidae,Forelius_pruinosus,Hymenoptera,1,0,0&1,1,0,0&1,1,1,1,1,1,1,0,0,1,1,0,0,0,0,1,1,1,1,1
Froggattella_kirbii,Froggattella,Froggattella,Dolichoderinae,Formicidae,Froggattella_kirbii,Hymenoptera,1,1,0&1,1,1,0&1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Froggattella_latispina,Froggattella,Froggattella,Dolichoderinae,Formicidae,Froggattella_latispina,Hymenoptera,1,1,0&1,1,1,0&1,1,1,1,1,1,1,0,0,1,1,1,1,1,0,1,1,1,1,0
Gracilidris_pombero,Gracilidris,Gracilidris,Dolichoderinae,Formicidae,Gracilidris_pombero,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Iridomyrmex_pallidus,Iridomyrmex,Iridomyrmex,Dolichoderinae,Formicidae,Iridomyrmex_pallidus,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Iridomyrmex_purpureus,Iridomyrmex,Iridomyrmex,Dolichoderinae,Formicidae,Iridomyrmex_purpureus,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Iridomyrmex_sanguineus,Iridomyrmex,Iridomyrmex,Dolichoderinae,Formicidae,Iridomyrmex_sanguineus,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Iridomyrmex_spadius,Iridomyrmex,Iridomyrmex,Dolichoderinae,Formicidae,Iridomyrmex_spadius,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_burwelli,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_burwelli,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_cnemidatus,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_cnemidatus,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_darlingtoni,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_darlingtoni,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_dolichoscapus,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_dolichoscapus,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_erythrocephalus,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_erythrocephalus,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_flavitarsus,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_flavitarsus,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_fragilis,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_fragilis,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_garretti,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_garretti,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
Leptomyrmex_geniculatus,Leptomyrmex,Leptomyrmex,Dolichoderinae,Formicidae,Leptomyrmex_geniculatus,Hymenoptera,1,0,0,1,0,0,1,1,1,1,1,1,0,0,0,0,0,0,0,0,1,1,1,1,1
